user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_probability,estimated_remaining_months,revenue_at_risk,expected_revenue_at_risk,expected_remaining_ltv,risk_level,risk_category,recovery_probability,estimated_recoverable_revenue,recommended_action,intervention_cost,net_recoverable_value,roi_multiple,is_profitable_intervention
1,2023-04-15,Premium,699,1.1,4,1,8,14,Yes,0.736,6,3086.78,3086.78,1107.22,High Risk,High Risk,0.47,1450.79,Payment reminder & Priority billing assistance,35.0,1415.79,41.5,True
2,2023-08-27,Premium,699,2.6,6,0,35,1,Yes,0.5695,8,3184.64,3184.64,2407.36,Medium Risk,Medium Risk,0.59,1878.94,Customer support follow-up,120.0,1758.94,15.7,True
3,2023-10-12,Premium,699,14.3,8,3,2,14,Yes,0.7357,4,2057.02,2057.02,738.98,High Risk,High Risk,0.24,493.68,Payment retry & Concierge billing call,65.0,428.68,7.6,True
4,2023-12-11,Basic,199,17.6,5,2,11,9,Yes,0.5384,6,642.85,642.85,551.15,Medium Risk,Medium Risk,0.5,321.42,Payment retry & Concierge billing call,65.0,256.42,4.9,True
5,2023-02-14,Basic,199,9.8,5,2,6,38,Yes,0.7792,6,930.36,930.36,263.64,High Risk,High Risk,0.1,93.04,Payment retry & Concierge billing call,65.0,28.04,1.4,True
6,2024-10-05,Premium,699,13.6,6,0,30,35,Yes,0.5375,8,3005.7,3005.7,2586.3,Medium Risk,Medium Risk,0.5,1502.85,Customer support follow-up,120.0,1382.85,12.5,True
7,2023-10-24,Premium,699,14.6,1,0,24,42,Yes,0.2847,8,1592.04,1592.04,3999.96,Low Risk,Low Risk,0.71,1130.35,No action,0.0,1130.35,1130.4,False
8,2024-01-09,Basic,199,21.7,6,2,15,29,Yes,0.7891,6,942.19,942.19,251.81,High Risk,High Risk,0.34,320.34,Payment retry & Concierge billing call,65.0,255.34,4.9,True
9,2023-03-15,Basic,199,9.2,4,5,24,59,Yes,0.7935,8,1263.25,1263.25,328.75,High Risk,High Risk,0.05,63.16,Payment retry & Concierge billing call,65.0,-1.84,1.0,False
10,2024-10-17,Premium,699,13.6,3,1,11,29,No,0.3013,6,1263.65,1263.65,2930.35,Low Risk,Low Risk,0.52,657.1,No action,0.0,657.1,657.1,False
11,2023-11-20,Premium,699,5.9,5,0,36,14,No,0.1564,8,874.59,874.59,4717.41,Low Risk,Low Risk,0.66,577.23,No action,0.0,577.23,577.2,False
12,2024-10-20,Standard,399,2.1,5,1,18,41,Yes,0.9114,6,2181.89,2181.89,212.11,Critical Risk,Critical Risk,0.2,436.38,Payment reminder & Priority billing assistance,35.0,401.38,12.5,True
13,2024-08-21,Standard,399,7.0,3,5,10,35,Yes,0.5699,6,1364.34,1364.34,1029.66,Medium Risk,Medium Risk,0.05,68.22,Payment retry & Concierge billing call,65.0,3.22,1.0,True
14,2023-02-18,Standard,399,9.4,2,4,26,31,Yes,0.7123,8,2273.66,2273.66,918.34,High Risk,High Risk,0.21,477.47,Payment retry & Concierge billing call,65.0,412.47,7.3,True
15,2024-09-02,Basic,199,15.9,6,4,10,4,Yes,0.5231,6,624.58,624.58,569.42,Medium Risk,Medium Risk,0.24,149.9,Payment retry & Concierge billing call,65.0,84.9,2.3,True
16,2024-11-29,Standard,399,6.7,8,0,34,43,No,0.4847,8,1547.16,1547.16,1644.84,Medium Risk,Medium Risk,0.35,541.51,Customer support follow-up,120.0,421.51,4.5,True
